first_nneurons,second_nneurons,act_fcn,lr,dropout,batch_norm,batch_size,num_epochs,acc,out_percent,home_percent,sleep_percent
4,5,tanh,0.001,0.125,True,5,250,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.001,0.125,True,5,300,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,tanh,0.001,0.125,True,5,350,0.7755102040816326,0.9,0.6190476190476191,0.8888888888888888
4,5,tanh,0.001,0.125,True,47,150,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
4,5,tanh,0.001,0.125,True,47,200,0.7346938775510204,0.9,0.47619047619047616,0.9444444444444444
4,5,tanh,0.001,0.125,True,47,250,0.8163265306122449,1.0,0.6666666666666666,0.8888888888888888
4,5,tanh,0.001,0.125,True,47,300,0.7142857142857143,0.7,0.5714285714285714,0.8888888888888888
4,5,tanh,0.001,0.125,True,47,350,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
4,5,tanh,0.001,0.125,False,5,150,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.001,0.125,False,5,200,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,tanh,0.001,0.125,False,5,250,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.001,0.125,False,5,300,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.001,0.125,False,5,350,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.001,0.125,False,47,150,0.7755102040816326,0.9,0.5714285714285714,0.9444444444444444
4,5,tanh,0.001,0.125,False,47,200,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
4,5,tanh,0.001,0.125,False,47,250,0.7755102040816326,0.9,0.5714285714285714,0.9444444444444444
4,5,tanh,0.001,0.125,False,47,300,0.7142857142857143,0.7,0.5714285714285714,0.8888888888888888
4,5,tanh,0.001,0.125,False,47,350,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0,True,5,150,0.7959183673469388,0.7,0.7619047619047619,0.8888888888888888
4,5,tanh,0.01,0,True,5,200,0.7551020408163265,1.0,0.5238095238095238,0.8888888888888888
4,5,tanh,0.01,0,True,5,250,0.7959183673469388,0.7,0.7619047619047619,0.8888888888888888
4,5,tanh,0.01,0,True,5,300,0.7346938775510204,0.6,0.6666666666666666,0.8888888888888888
4,5,tanh,0.01,0,True,5,350,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0,True,47,150,0.7142857142857143,0.7,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0,True,47,200,0.6938775510204082,0.7,0.5238095238095238,0.8888888888888888
4,5,tanh,0.01,0,True,47,250,0.673469387755102,0.6,0.5238095238095238,0.8888888888888888
4,5,tanh,0.01,0,True,47,300,0.8367346938775511,0.9,0.7619047619047619,0.8888888888888888
4,5,tanh,0.01,0,True,47,350,0.7959183673469388,0.8,0.6666666666666666,0.9444444444444444
4,5,tanh,0.01,0,False,5,150,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0,False,5,200,0.8163265306122449,0.9,0.7142857142857143,0.8888888888888888
4,5,tanh,0.01,0,False,5,250,0.673469387755102,0.5,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0,False,5,300,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
4,5,tanh,0.01,0,False,5,350,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
4,5,tanh,0.01,0,False,47,150,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,tanh,0.01,0,False,47,200,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.01,0,False,47,250,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,tanh,0.01,0,False,47,300,0.7142857142857143,0.7,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0,False,47,350,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
4,5,tanh,0.01,0.125,True,5,150,0.8163265306122449,0.7,0.8095238095238095,0.8888888888888888
4,5,tanh,0.01,0.125,True,5,200,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0.125,True,5,250,0.673469387755102,0.5,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0.125,True,5,300,0.7142857142857143,0.9,0.47619047619047616,0.8888888888888888
4,5,tanh,0.01,0.125,True,5,350,0.7755102040816326,0.6,0.7619047619047619,0.8888888888888888
4,5,tanh,0.01,0.125,True,47,150,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,tanh,0.01,0.125,True,47,200,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,tanh,0.01,0.125,True,47,250,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
4,5,tanh,0.01,0.125,True,47,300,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.01,0.125,True,47,350,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,tanh,0.01,0.125,False,5,150,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
4,5,tanh,0.01,0.125,False,5,200,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
4,5,tanh,0.01,0.125,False,5,250,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0.125,False,5,300,0.673469387755102,0.9,0.38095238095238093,0.8888888888888888
4,5,tanh,0.01,0.125,False,5,350,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,tanh,0.01,0.125,False,47,150,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
4,5,tanh,0.01,0.125,False,47,200,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,tanh,0.01,0.125,False,47,250,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.01,0.125,False,47,300,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,tanh,0.01,0.125,False,47,350,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.1,0,True,5,150,0.7551020408163265,0.3,0.8571428571428571,0.8888888888888888
4,5,tanh,0.1,0,True,5,200,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.1,0,True,5,250,0.7142857142857143,0.0,0.9047619047619048,0.8888888888888888
4,5,tanh,0.1,0,True,5,300,0.6938775510204082,0.9,0.42857142857142855,0.8888888888888888
4,5,tanh,0.1,0,True,5,350,0.673469387755102,0.9,0.38095238095238093,0.8888888888888888
4,5,tanh,0.1,0,True,47,150,0.7755102040816326,0.5,0.8095238095238095,0.8888888888888888
4,5,tanh,0.1,0,True,47,200,0.7755102040816326,0.9,0.6190476190476191,0.8888888888888888
4,5,tanh,0.1,0,True,47,250,0.7142857142857143,0.9,0.47619047619047616,0.8888888888888888
4,5,tanh,0.1,0,True,47,300,0.7551020408163265,0.9,0.5238095238095238,0.9444444444444444
4,5,tanh,0.1,0,True,47,350,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.1,0,False,5,150,0.7755102040816326,0.7,0.7142857142857143,0.8888888888888888
4,5,tanh,0.1,0,False,5,200,0.673469387755102,1.0,0.3333333333333333,0.8888888888888888
4,5,tanh,0.1,0,False,5,250,0.7346938775510204,0.1,0.9047619047619048,0.8888888888888888
4,5,tanh,0.1,0,False,5,300,0.7959183673469388,0.6,0.8095238095238095,0.8888888888888888
4,5,tanh,0.1,0,False,5,350,0.7551020408163265,0.8,0.5714285714285714,0.9444444444444444
4,5,tanh,0.1,0,False,47,150,0.7142857142857143,0.7,0.5714285714285714,0.8888888888888888
4,5,tanh,0.1,0,False,47,200,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,tanh,0.1,0,False,47,250,0.8163265306122449,0.7,0.8095238095238095,0.8888888888888888
4,5,tanh,0.1,0,False,47,300,0.7142857142857143,0.9,0.47619047619047616,0.8888888888888888
4,5,tanh,0.1,0,False,47,350,0.6938775510204082,0.7,0.5238095238095238,0.8888888888888888
4,5,tanh,0.1,0.125,True,5,150,0.6938775510204082,1.0,0.38095238095238093,0.8888888888888888
4,5,tanh,0.1,0.125,True,5,200,0.5306122448979592,1.0,0.0,0.8888888888888888
4,5,tanh,0.1,0.125,True,5,250,0.5510204081632653,1.0,0.047619047619047616,0.8888888888888888
4,5,tanh,0.1,0.125,True,5,300,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
4,5,tanh,0.1,0.125,True,5,350,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,tanh,0.1,0.125,True,47,150,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,tanh,0.1,0.125,True,47,200,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.1,0.125,True,47,250,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,tanh,0.1,0.125,True,47,300,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,tanh,0.1,0.125,True,47,350,0.7551020408163265,0.8,0.5714285714285714,0.9444444444444444
4,5,tanh,0.1,0.125,False,5,150,0.6326530612244898,0.9,0.2857142857142857,0.8888888888888888
4,5,tanh,0.1,0.125,False,5,200,0.6938775510204082,0.0,0.8571428571428571,0.8888888888888888
4,5,tanh,0.1,0.125,False,5,250,0.7346938775510204,0.5,0.7142857142857143,0.8888888888888888
4,5,tanh,0.1,0.125,False,5,300,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,tanh,0.1,0.125,False,5,350,0.6938775510204082,0.0,0.8571428571428571,0.8888888888888888
4,5,tanh,0.1,0.125,False,47,150,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
4,5,tanh,0.1,0.125,False,47,200,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,tanh,0.1,0.125,False,47,250,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,tanh,0.1,0.125,False,47,300,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,tanh,0.1,0.125,False,47,350,0.7551020408163265,0.6,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.001,0,True,5,150,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.001,0,True,5,200,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0,True,5,250,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.001,0,True,5,300,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.001,0,True,5,350,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0,True,47,150,0.6326530612244898,0.7,0.38095238095238093,0.8888888888888888
4,5,sigmoid,0.001,0,True,47,200,0.8163265306122449,0.9,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.001,0,True,47,250,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0,True,47,300,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0,True,47,350,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.001,0,False,5,150,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0,False,5,200,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0,False,5,250,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0,False,5,300,0.7755102040816326,0.7,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.001,0,False,5,350,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0,False,47,150,0.7959183673469388,0.8,0.6666666666666666,0.9444444444444444
4,5,sigmoid,0.001,0,False,47,200,0.8163265306122449,0.9,0.6666666666666666,0.9444444444444444
4,5,sigmoid,0.001,0,False,47,250,0.7346938775510204,0.7,0.5714285714285714,0.9444444444444444
4,5,sigmoid,0.001,0,False,47,300,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
4,5,sigmoid,0.001,0,False,47,350,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.001,0.125,True,5,150,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.001,0.125,True,5,200,0.7755102040816326,0.9,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0.125,True,5,250,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.001,0.125,True,5,300,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.001,0.125,True,5,350,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.001,0.125,True,47,150,0.6938775510204082,0.8,0.47619047619047616,0.8888888888888888
4,5,sigmoid,0.001,0.125,True,47,200,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.001,0.125,True,47,250,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.001,0.125,True,47,300,0.7551020408163265,0.8,0.5714285714285714,0.9444444444444444
4,5,sigmoid,0.001,0.125,True,47,350,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.001,0.125,False,5,150,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
4,5,sigmoid,0.001,0.125,False,5,200,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.001,0.125,False,5,250,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.001,0.125,False,5,300,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.001,0.125,False,5,350,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.001,0.125,False,47,150,0.6938775510204082,0.8,0.42857142857142855,0.9444444444444444
4,5,sigmoid,0.001,0.125,False,47,200,0.6938775510204082,0.8,0.42857142857142855,0.9444444444444444
4,5,sigmoid,0.001,0.125,False,47,250,0.7551020408163265,0.9,0.5238095238095238,0.9444444444444444
4,5,sigmoid,0.001,0.125,False,47,300,0.7755102040816326,0.8,0.6190476190476191,0.9444444444444444
4,5,sigmoid,0.001,0.125,False,47,350,0.7346938775510204,0.8,0.5238095238095238,0.9444444444444444
4,5,sigmoid,0.01,0,True,5,150,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
4,5,sigmoid,0.01,0,True,5,200,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.01,0,True,5,250,0.7755102040816326,1.0,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.01,0,True,5,300,0.7959183673469388,0.7,0.7619047619047619,0.8888888888888888
4,5,sigmoid,0.01,0,True,5,350,0.6530612244897959,0.7,0.42857142857142855,0.8888888888888888
4,5,sigmoid,0.01,0,True,47,150,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.01,0,True,47,200,0.8163265306122449,0.9,0.6666666666666666,0.9444444444444444
4,5,sigmoid,0.01,0,True,47,250,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.01,0,True,47,300,0.7346938775510204,0.5,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.01,0,True,47,350,0.8163265306122449,0.8,0.7619047619047619,0.8888888888888888
4,5,sigmoid,0.01,0,False,5,150,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.01,0,False,5,200,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.01,0,False,5,250,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.01,0,False,5,300,0.673469387755102,0.5,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.01,0,False,5,350,0.7755102040816326,0.7,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.01,0,False,47,150,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.01,0,False,47,200,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.01,0,False,47,250,0.8163265306122449,0.8,0.7619047619047619,0.8888888888888888
4,5,sigmoid,0.01,0,False,47,300,0.7755102040816326,0.7,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.01,0,False,47,350,0.7755102040816326,0.7,0.6666666666666666,0.9444444444444444
4,5,sigmoid,0.01,0.125,True,5,150,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.01,0.125,True,5,200,0.8163265306122449,1.0,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.01,0.125,True,5,250,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.01,0.125,True,5,300,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.01,0.125,True,5,350,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.01,0.125,True,47,150,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.01,0.125,True,47,200,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.01,0.125,True,47,250,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.01,0.125,True,47,300,0.7755102040816326,0.7,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.01,0.125,True,47,350,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.01,0.125,False,5,150,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.01,0.125,False,5,200,0.7142857142857143,0.9,0.47619047619047616,0.8888888888888888
4,5,sigmoid,0.01,0.125,False,5,250,0.673469387755102,0.9,0.3333333333333333,0.9444444444444444
4,5,sigmoid,0.01,0.125,False,5,300,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.01,0.125,False,5,350,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.01,0.125,False,47,150,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.01,0.125,False,47,200,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.01,0.125,False,47,250,0.7755102040816326,0.7,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.01,0.125,False,47,300,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.01,0.125,False,47,350,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
4,5,sigmoid,0.1,0,True,5,150,0.7551020408163265,0.4,0.8095238095238095,0.8888888888888888
4,5,sigmoid,0.1,0,True,5,200,0.6938775510204082,0.9,0.42857142857142855,0.8888888888888888
4,5,sigmoid,0.1,0,True,5,250,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.1,0,True,5,300,0.6530612244897959,0.9,0.3333333333333333,0.8888888888888888
4,5,sigmoid,0.1,0,True,5,350,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.1,0,True,47,150,0.7142857142857143,0.7,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.1,0,True,47,200,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.1,0,True,47,250,0.6938775510204082,0.5,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.1,0,True,47,300,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.1,0,True,47,350,0.7142857142857143,0.7,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.1,0,False,5,150,0.7551020408163265,1.0,0.5238095238095238,0.8888888888888888
4,5,sigmoid,0.1,0,False,5,200,0.673469387755102,1.0,0.3333333333333333,0.8888888888888888
4,5,sigmoid,0.1,0,False,5,250,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.1,0,False,5,300,0.7142857142857143,0.3,0.7619047619047619,0.8888888888888888
4,5,sigmoid,0.1,0,False,5,350,0.6530612244897959,0.5,0.5238095238095238,0.8888888888888888
4,5,sigmoid,0.1,0,False,47,150,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.1,0,False,47,200,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.1,0,False,47,250,0.7142857142857143,0.7,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.1,0,False,47,300,0.673469387755102,0.7,0.47619047619047616,0.8888888888888888
4,5,sigmoid,0.1,0,False,47,350,0.6938775510204082,0.7,0.5238095238095238,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,5,150,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,5,200,0.6938775510204082,0.8,0.47619047619047616,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,5,250,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,5,300,0.7755102040816326,0.7,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,5,350,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,47,150,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,47,200,0.8163265306122449,0.8,0.7619047619047619,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,47,250,0.7551020408163265,0.9,0.5714285714285714,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,47,300,0.8163265306122449,0.9,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.1,0.125,True,47,350,0.7551020408163265,0.6,0.7142857142857143,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,5,150,0.8163265306122449,0.7,0.8095238095238095,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,5,200,0.7551020408163265,0.4,0.8095238095238095,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,5,250,0.7346938775510204,0.3,0.8095238095238095,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,5,300,0.7551020408163265,0.4,0.8095238095238095,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,5,350,0.7551020408163265,0.3,0.8571428571428571,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,47,150,0.7142857142857143,0.9,0.47619047619047616,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,47,200,0.7551020408163265,0.4,0.8095238095238095,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,47,250,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,47,300,0.7142857142857143,0.8,0.5238095238095238,0.8888888888888888
4,5,sigmoid,0.1,0.125,False,47,350,0.7346938775510204,0.8,0.5714285714285714,0.8888888888888888
4,6,tanh,0.001,0,True,5,150,0.7346938775510204,0.9,0.47619047619047616,0.9444444444444444
4,6,tanh,0.001,0,True,5,200,0.8163265306122449,0.9,0.7142857142857143,0.8888888888888888
4,6,tanh,0.001,0,True,5,250,0.7959183673469388,0.8,0.7142857142857143,0.8888888888888888
4,6,tanh,0.001,0,True,5,300,0.7346938775510204,0.7,0.6190476190476191,0.8888888888888888
4,6,tanh,0.001,0,True,5,350,0.7755102040816326,0.9,0.6190476190476191,0.8888888888888888
4,6,tanh,0.001,0,True,47,150,0.7755102040816326,0.7,0.6666666666666666,0.9444444444444444
